Address,Nametag,website,Public Note,chain id
0x364f1f39d3a6ea4ad57d51f2756a15ed27398eda,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x98a6ee1aa62ba20b53b3062ad79844924cdbc7b3,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xba9fab76df54091364ca374b94023b329cfe7c41,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x23df2d935ac36e6bc69129c2e1d946368e0df1b3,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x83377b6685530546ee870dcc3573f3d5a707170e,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x173b4b95be280b3d9c648d20a95a67d628fbc62c,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xcb87416572a13846631e71262b79bf60326fdd50,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xcbba9a96432c8f00c97dac108c5a1bfb67dbd933,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xeb70945bd5e665de320c7ac3a1170edc8bca4ad1,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x4e60b65b12915a4ce4d53d0bd5edd94517bd36da,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x91c6107e4a1b479a837c2c5d822455de0edab228,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x95f987814b6d9ab6426f6f3fd5ff9b2fbf92a935,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xe84a2514104cf4c6aebae76226a63d37eb575553,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xefcf2c888d604377f195760aa4af42c310793983,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x9e76737f97e0e649d53e25f86e1b618c72b37939,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xee2983a2def5b7271f432424278c09fe886dc1ed,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xf64de0f9f48fb6b052d2f85e4ca80e4aae5f79b7,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x73845262088e4e39469313692f3462bbbef1195e,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x5cd1585e19eb15f7ec81b4da78073fd007d6c457,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xf6e69f85c0b2da8e3fedf7b979869dfc36130c6c,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x90d2dddd8f78c57de679e5a738e9b2f547953c57,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x609a8e26b6270cd8ce13cd50789bbe5867e64e81,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x8e74f510d3139c44026d961c3e8dba73ac29e1de,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x8cac8e30fd18248be43bb66a027d1ef02974c542,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xfd9fca0a24bd4dba9cf7a3f20bb6bc5f5feb7456,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x6f7ad2c39902d8f2bd0b269e01fcdcd4c0215c39,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xf40fc7e1491120bc6c8f153914527d5ae6909eb0,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x7545d06bae3c30f18beae28cb5ac34109788bcc3,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xcc97d6be2270b7c617dd85ab59d391ac6e0dc946,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xdf2ea861bdb80b6c1e6a9d1cc439b078e5382d64,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x641ed82b6749ceaf1c235cf209b8c6ce88a95480,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x736d3d63717dd474f666a9a8e61160182d5ee625,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x3fa866b93e5ddc912c8a32e1a778bc355944af9e,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xdb4f4b6572e56554bcef14ad4f281999ee52119c,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x8671c4861f91e3bcae9d5e1ea786cd2fbc70c266,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xab5c421fa428c3857fd8b809eaedeb86b59732bc,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xb8438bebf46df85ea7230a9f99d78e920fd8ed80,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xea078ae6dac83ff38bc86c304980b119dd018472,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x35a01de8dd61bf405bb56e55b3082a705845b6c2,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xff1f96e1e96282f345733e801c61c618ad3fcad6,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x2203c5c4dee74a60202438c71a6e7d60ec188234,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xca86a9964ff4f7ba1dca954fb60d8d1554b59101,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x25b2f49d779e15647e04ecbc8db3f68f125e35b5,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x8f2f993bde3962140bc1e98dabd814b5c0be01dd,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xad6f2c7d9ec4660e900da1bd6ec942c8755c7cba,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xc91d103faa7359a37b52227beac0dbbc8f01a480,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xd4d5d062c4dd9e5a60a2304f3483d64cd709d3ab,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xb10a4811672e31384ab93c4f1901e5eae5a063ed,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xa19fd268b713b69ff98e3c70941740ee94831cf6,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xad239d4bbb05b80b7dd0b5fa751f96b6862206af,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x5996ce229ed8617ec61246f8d7c073ecb7cb8d7f,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x9976742a62d6d8bd5851612d0e9241da32da77c2,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xca0ba850490782209d23045be5047a7d8be964de,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xa87c2b169ec314b82c26d94120487f7b548b2fb4,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
